Location,Population,Average Commute (min),Median Home Value ($),Median Monthly Rent ($),Median Household Income ($),Coordinates
"Naples, FL",24439,17,1239805,1608,141963,"[26.142036, -81.794807]"
"Virginia Beach, VA",456053,21,376063,1406,92689,"[36.850038, -75.975128]"
"New York City, NY",8301314,37,729136,1582,78477,"[40.712728, -74.006015]"
"Sarasota, FL",56013,20,497190,1545,79413,"[27.336581, -82.530855]"
"Boise, ID",242206,17,553529,1335,82495,"[43.616616, -116.200886]"
"Raleigh, NC",476137,20,456019,1305,90721,"[35.780398, -78.639099]"
"Jacksonville, FL",990505,22,302616,1241,68013,"[30.332184, -81.655651]"
"Huntsville, AL",228603,19,302276,883,72930,"[34.729847, -86.585901]"
"Charlotte, NC",920072,22,397862,1339,80763,"[35.227209, -80.843083]"
"Fort Wayne, IN",270539,18,183829,765,61834,"[41.079990, -85.138601]"
"Green Bay, WI",106583,15,206179,743,61539,"[44.512638, -88.012579]"
"Washington, DC",682425,30,711110,1770,105173,"[38.895037, -77.036543]"
"Charleston, SC",158129,20,463644,1387,90050,"[32.787601, -79.940273]"
"San Francisco, CA",813200,28,1389227,2223,143997,"[37.779026, -122.419906]"
"South Bend, IN",104781,17,151242,819,52657,"[41.683381, -86.250007]"
"Lexington, KY",321813,18,295763,871,68247,"[38.046407, -84.497039]"
"Pensacola, FL",54654,18,296312,1013,71671,"[30.421309, -87.216915]"
"Tampa, FL",408511,22,414677,1410,75210,"[27.947760, -82.458444]"
"Port St. Lucie, FL",238004,24,349395,1290,79105,"[27.293933, -80.350328]"
"Melbourne, FL",87027,20,310404,1261,67787,"[28.078099, -80.607651]"
"Anchorage, AK",274567,17,374530,1247,98036,"[61.216313, -149.894852]"
"Seattle, WA",770828,24,923623,1800,126700,"[47.603832, -122.330062]"
"Oklahoma City, OK",713207,21,230952,825,67188,"[35.472989, -97.517054]"
"Fort Meyers, FL",91260,23,374158,1424,64898,"[26.640232, -81.872529]"
"Omaha, NE",486254,17,253521,925,72588,"[41.258746, -95.938376]"
"Honolulu, HI",357905,19,910415,1642,88214,"[21.304547, -157.855676]"
"Portland, OR",642884,21,565836,1371,92125,"[45.520247, -122.674194]"
"Des Moines, IA",218178,18,186510,900,64592,"[41.587022, -93.625008]"
"Boston, MA",654603,29,694238,1810,94323,"[42.355433, -71.060511]"
"Greenville, SC",79420,17,420025,1071,73817,"[34.851453, -82.398903]"
"Manchester, NH",118234,19,371951,1311,83407,"[42.995640, -71.454789]"
"Austin, TX",997670,20,584446,1466,96149,"[30.270810, -97.743610]"
"Pittsburgh, PA",310519,21,206135,948,66594,"[40.441694, -79.990086]"
"Lakeland, FL",121201,20,263509,1063,63833,"[28.039465, -81.949804]"
"Louisville, KY",247734,19,214151,791,53414,"[38.254238, -85.759407]"
"Montgomery, AL",197171,18,158085,735,57029,"[32.378106, -86.309349]"
"Madison, WI",278984,18,361084,1168,77853,"[43.074761, -89.383761]"
"San Jose, CA",968732,23,1294556,2338,142863,"[37.336166, -121.890591]"
"Hickory, NC",45306,17,524250,756,62234,"[35.733331, -81.344291]"
"Grand Rapids, MI",202930,17,241442,1088,66515,"[42.963240, -85.667864]"
"Nashville, TN",690085,22,435628,1316,77371,"[36.162270, -86.774242]"
"Buffalo, NY",287612,18,189822,842,49405,"[42.886717, -78.878392]"
"Indianapolis, IN",886156,22,222268,856,61452,"[39.768333, -86.158350]"
"Lincoln, NE",295976,16,265255,876,70199,"[40.808886, -96.707775]"
"Tucson, AZ",548153,20,275701,932,55886,"[32.222876, -110.974848]"
"Colorado Springs, CO",486839,19,467431,1394,86162,"[38.833958, -104.825348]"
"Columbus, OH",914262,20,255115,999,64205,"[39.962260, -83.000707]"
"San Diego, CA",1396734,21,885517,1943,107533,"[32.717420, -117.162773]"
"Chattanooga, TN",191223,18,298784,1026,64624,"[35.045722, -85.309488]"
"Ann Arbor, MI",122616,18,430301,1320,79451,"[42.281475, -83.748676]"
"Augusta, GA",201970,19,163376,792,53243,"[33.470971, -81.974843]"
"Phoenix, AZ",1643301,23,456730,1392,80819,"[33.448437, -112.074141]"
"Reno, NV",272777,18,531801,1350,81237,"[39.526121, -119.812658]"
